# y+ ()       
# Time        	patch         	min           	max           	average       
0             	pipe	9.949770e+01	1.119644e+02	1.038182e+02
0.1           	pipe	1.222181e+02	4.590784e+02	3.006911e+02
0.2           	pipe	1.254674e+02	4.439944e+02	2.931636e+02
0.3           	pipe	1.277111e+02	4.595239e+02	3.024286e+02
0.4           	pipe	1.216864e+02	4.616619e+02	3.020442e+02
0.5           	pipe	1.218564e+02	4.463129e+02	2.933395e+02
0.6           	pipe	1.278195e+02	4.501550e+02	2.969611e+02
0.7           	pipe	1.254276e+02	4.629643e+02	3.037480e+02
0.8           	pipe	1.203674e+02	4.569779e+02	2.990665e+02
0.9           	pipe	1.245687e+02	4.433444e+02	2.926182e+02
1             	pipe	1.282467e+02	4.569518e+02	3.010162e+02
1.1           	pipe	1.228294e+02	4.628358e+02	3.029536e+02
1.2           	pipe	1.210025e+02	4.496564e+02	2.949049e+02
1.3           	pipe	1.269810e+02	4.470506e+02	2.950992e+02
1.4           	pipe	1.266373e+02	4.618129e+02	3.034623e+02
1.5           	pipe	1.207438e+02	4.595396e+02	3.006415e+02
1.6           	pipe	1.232738e+02	4.438160e+02	2.924828e+02
1.7           	pipe	1.283021e+02	4.538467e+02	2.991723e+02
1.8           	pipe	1.240119e+02	4.632752e+02	3.035063e+02
1.9           	pipe	1.205365e+02	4.532968e+02	2.969083e+02
2             	pipe	1.259247e+02	4.446325e+02	2.936078e+02
2.1           	pipe	1.275939e+02	4.599413e+02	3.026457e+02
2.2           	pipe	1.215504e+02	4.614389e+02	3.018898e+02
2.3           	pipe	1.220056e+02	4.458963e+02	2.931660e+02
2.4           	pipe	1.279202e+02	4.505961e+02	2.972268e+02
2.5           	pipe	1.252569e+02	4.630070e+02	3.037197e+02
2.6           	pipe	1.203549e+02	4.565373e+02	2.988019e+02
2.7           	pipe	1.247702e+02	4.434002e+02	2.927022e+02
2.8           	pipe	1.281755e+02	4.574004e+02	3.012699e+02
2.9           	pipe	1.226426e+02	4.626935e+02	3.028293e+02
3             	pipe	1.210989e+02	4.490823e+02	2.946085e+02
3.1           	pipe	1.271165e+02	4.474992e+02	2.953667e+02
3.2           	pipe	1.264500e+02	4.620618e+02	3.035468e+02
3.3           	pipe	1.206487e+02	4.591689e+02	3.004077e+02
3.4           	pipe	1.235060e+02	4.436041e+02	2.924464e+02
3.5           	pipe	1.283316e+02	4.543872e+02	2.994995e+02
3.6           	pipe	1.238122e+02	4.632542e+02	3.034428e+02
3.7           	pipe	1.205917e+02	4.527556e+02	2.965987e+02
3.8           	pipe	1.260870e+02	4.449409e+02	2.938042e+02
3.9           	pipe	1.274710e+02	4.602524e+02	3.027932e+02
4             	pipe	1.214072e+02	4.612023e+02	3.017291e+02
4.1           	pipe	1.221809e+02	4.454899e+02	2.930075e+02
4.2           	pipe	1.279894e+02	4.510352e+02	2.974883e+02
4.3           	pipe	1.250905e+02	4.631197e+02	3.037303e+02
4.4           	pipe	1.203731e+02	4.561290e+02	2.985629e+02
4.5           	pipe	1.249092e+02	4.434866e+02	2.927807e+02
4.6           	pipe	1.281229e+02	4.577705e+02	3.014789e+02
4.7           	pipe	1.224922e+02	4.625954e+02	3.027411e+02
4.8           	pipe	1.211904e+02	4.486177e+02	2.943755e+02
4.9           	pipe	1.272413e+02	4.478890e+02	2.956024e+02
5             	pipe	1.263122e+02	4.622260e+02	3.035969e+02
5.1           	pipe	1.205782e+02	4.588936e+02	3.002338e+02
5.2           	pipe	1.236423e+02	4.435071e+02	2.924384e+02
5.3           	pipe	1.283369e+02	4.547727e+02	2.997292e+02
5.4           	pipe	1.236657e+02	4.632227e+02	3.033870e+02
5.5           	pipe	1.206315e+02	4.523448e+02	2.963628e+02
5.6           	pipe	1.262102e+02	4.451913e+02	2.939610e+02
5.7           	pipe	1.273925e+02	4.605012e+02	3.029203e+02
5.8           	pipe	1.212993e+02	4.609988e+02	3.015931e+02
5.9           	pipe	1.223166e+02	4.452016e+02	2.928972e+02
6             	pipe	1.280523e+02	4.514216e+02	2.977206e+02
6.1           	pipe	1.249479e+02	4.631656e+02	3.037154e+02
6.2           	pipe	1.203716e+02	4.557963e+02	2.983628e+02
6.3           	pipe	1.250437e+02	4.435754e+02	2.928601e+02
6.4           	pipe	1.280781e+02	4.580746e+02	3.016554e+02
6.5           	pipe	1.223540e+02	4.624541e+02	3.026323e+02
6.6           	pipe	1.212953e+02	4.482171e+02	2.941869e+02
6.7           	pipe	1.273575e+02	4.482216e+02	2.958038e+02
6.8           	pipe	1.261608e+02	4.623359e+02	3.036122e+02
6.9           	pipe	1.205102e+02	4.586123e+02	3.000566e+02
7             	pipe	1.238366e+02	4.434344e+02	2.924619e+02
7.1           	pipe	1.283310e+02	4.551669e+02	2.999613e+02
7.2           	pipe	1.235075e+02	4.631881e+02	3.033265e+02
7.3           	pipe	1.207065e+02	4.518407e+02	2.960878e+02
7.4           	pipe	1.263728e+02	4.455097e+02	2.941621e+02
7.5           	pipe	1.272575e+02	4.607729e+02	3.030395e+02
7.6           	pipe	1.211731e+02	4.607784e+02	3.014423e+02
7.7           	pipe	1.224905e+02	4.448681e+02	2.927790e+02
7.8           	pipe	1.281250e+02	4.518240e+02	2.979608e+02
7.9           	pipe	1.247632e+02	4.631891e+02	3.036756e+02
8             	pipe	1.203956e+02	4.553509e+02	2.981040e+02
8.1           	pipe	1.252317e+02	4.437251e+02	2.929827e+02
8.2           	pipe	1.279962e+02	4.584620e+02	3.018681e+02
8.3           	pipe	1.221821e+02	4.623084e+02	3.025142e+02
8.4           	pipe	1.214108e+02	4.477335e+02	2.939582e+02
8.5           	pipe	1.274743e+02	4.486569e+02	2.960627e+02
8.6           	pipe	1.259816e+02	4.625171e+02	3.036621e+02
8.7           	pipe	1.204511e+02	4.582097e+02	2.998097e+02
8.8           	pipe	1.240272e+02	4.433576e+02	2.924771e+02
8.9           	pipe	1.283343e+02	4.556507e+02	3.002533e+02
9             	pipe	1.233253e+02	4.631057e+02	3.032339e+02
9.1           	pipe	1.207615e+02	4.512674e+02	2.957645e+02
9.2           	pipe	1.265508e+02	4.459262e+02	2.944167e+02
9.3           	pipe	1.270912e+02	4.611007e+02	3.031802e+02
9.4           	pipe	1.210296e+02	4.604456e+02	3.012229e+02
9.5           	pipe	1.227443e+02	4.445014e+02	2.926731e+02
9.6           	pipe	1.282120e+02	4.524989e+02	2.983649e+02
9.7           	pipe	1.245047e+02	4.632464e+02	3.036331e+02
9.8           	pipe	1.204070e+02	4.546928e+02	2.977112e+02
9.9           	pipe	1.254653e+02	4.439616e+02	2.931579e+02
10            	pipe	1.278705e+02	4.589469e+02	3.021263e+02
