# y+ ()       
# Time        	patch         	min           	max           	average       
0.047         	pipe	4.465120e+01	7.941159e+01	5.211357e+01
0.0475        	pipe	4.305881e+01	6.655905e+01	4.952217e+01
0.048         	pipe	4.029670e+01	6.048719e+01	4.825945e+01
0.0485        	pipe	3.758909e+01	5.779819e+01	4.771367e+01
0.049         	pipe	3.437959e+01	5.734060e+01	4.817410e+01
0.0495        	pipe	3.109117e+01	5.996470e+01	5.142546e+01
0.05          	pipe	2.890824e+01	6.840835e+01	5.805702e+01
0.0505        	pipe	2.802112e+01	7.941663e+01	6.549457e+01
0.051         	pipe	2.780218e+01	8.757209e+01	7.040847e+01
0.0515        	pipe	2.752896e+01	9.266894e+01	7.319862e+01
0.052         	pipe	2.714983e+01	9.529127e+01	7.473944e+01
0.0525        	pipe	2.694494e+01	9.633240e+01	7.518784e+01
0.053         	pipe	2.689597e+01	9.598181e+01	7.455649e+01
0.0535        	pipe	2.706385e+01	9.414789e+01	7.267103e+01
0.054         	pipe	2.680243e+01	9.076449e+01	6.958271e+01
0.0545        	pipe	2.726251e+01	8.577199e+01	6.569533e+01
0.055         	pipe	2.975879e+01	7.944325e+01	6.159480e+01
0.0555        	pipe	3.270596e+01	7.206897e+01	5.665837e+01
0.056         	pipe	3.644197e+01	6.444218e+01	5.188015e+01
0.0565        	pipe	3.889014e+01	5.917970e+01	4.917944e+01
0.057         	pipe	3.887739e+01	5.511390e+01	4.724376e+01
0.0575        	pipe	3.802847e+01	5.202025e+01	4.548676e+01
0.058         	pipe	3.691600e+01	5.000830e+01	4.409970e+01
0.0585        	pipe	3.600050e+01	4.817638e+01	4.284827e+01
0.059         	pipe	3.516248e+01	4.660345e+01	4.171559e+01
0.0595        	pipe	3.423429e+01	4.516036e+01	4.062693e+01
0.06          	pipe	3.323498e+01	4.360934e+01	3.943719e+01
0.0605        	pipe	3.242618e+01	4.213591e+01	3.831268e+01
0.061         	pipe	3.171772e+01	4.086393e+01	3.732130e+01
0.0615        	pipe	3.094415e+01	3.974612e+01	3.643991e+01
0.062         	pipe	3.014537e+01	3.883210e+01	3.565380e+01
0.0625        	pipe	2.952664e+01	3.799632e+01	3.498174e+01
0.063         	pipe	2.939587e+01	3.765768e+01	3.437007e+01
0.0635        	pipe	2.980725e+01	3.797270e+01	3.406637e+01
0.064         	pipe	3.055907e+01	3.869762e+01	3.433350e+01
0.0645        	pipe	3.163448e+01	3.985256e+01	3.490468e+01
0.065         	pipe	3.295991e+01	4.126695e+01	3.574891e+01
0.0655        	pipe	3.221336e+01	4.361542e+01	3.719431e+01
0.066         	pipe	3.138175e+01	4.816288e+01	4.034194e+01
0.0665        	pipe	3.073877e+01	5.577079e+01	4.597543e+01
0.067         	pipe	3.047112e+01	6.577839e+01	5.361171e+01
0.0675        	pipe	3.035444e+01	7.556815e+01	6.084587e+01
0.068         	pipe	3.009283e+01	8.315921e+01	6.616034e+01
0.0685        	pipe	2.994508e+01	8.853210e+01	6.974333e+01
0.069         	pipe	2.963917e+01	9.270099e+01	7.241775e+01
0.0695        	pipe	2.929145e+01	9.536357e+01	7.417972e+01
0.07          	pipe	2.897776e+01	9.692863e+01	7.508885e+01
0.0705        	pipe	2.878306e+01	9.701449e+01	7.468823e+01
0.071         	pipe	2.934387e+01	9.556500e+01	7.294531e+01
0.0715        	pipe	3.189059e+01	9.348715e+01	7.072310e+01
0.072         	pipe	3.688609e+01	9.141625e+01	6.908492e+01
0.0725        	pipe	4.381257e+01	8.800103e+01	6.716759e+01
0.073         	pipe	5.061036e+01	8.218506e+01	6.468480e+01
0.0735        	pipe	5.326609e+01	7.579413e+01	6.206689e+01
0.074         	pipe	5.201903e+01	7.019452e+01	5.949776e+01
0.0745        	pipe	5.058188e+01	6.629200e+01	5.744611e+01
0.075         	pipe	4.919282e+01	6.330303e+01	5.574822e+01
0.0755        	pipe	4.773800e+01	6.085630e+01	5.421569e+01
0.076         	pipe	4.620412e+01	5.849306e+01	5.270403e+01
0.0765        	pipe	4.459035e+01	5.630688e+01	5.121911e+01
0.077         	pipe	4.320325e+01	5.468964e+01	4.986625e+01
0.0775        	pipe	4.209668e+01	5.405147e+01	4.854521e+01
0.078         	pipe	4.107409e+01	5.337756e+01	4.727744e+01
